identity,XGW_1,XGW_201,XGW_202,XGW_203,XGW_204,XGW_205,XGW_206,XGW_207,XGW_208,XGW_209,XGW_210,XGW_211,XGW_2_rb01,XGW_2_rb02,XGW_2_rb03,XGW_2_rb04,XGW_2_rb05,XGW_2_rb06,XGW_2_rb07,XGW_2_rb08,XGW_2_rb09,XGW_2_rb10,XGW_2_rb11,gender,age,region,income_v2,inputstate,child18,employ,newsint,student,race,educ,marstat,hholdsize,ideo5,votereg,social_nets_mem01,social_nets_mem02,social_nets_mem03,social_nets_mem04,social_nets_mem05,social_nets_mem06,social_nets_mem07,social_nets_mem08,social_nets_mem09,social_nets_mem10,social_nets_mem11,social_nets_mem12,social_nets_mem13,social_nets_mem14,weight_nat
4832,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,34,2,6,18,2,2,1,3,1,3,1,2,2,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0.7895999848
5532,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,59,2,2,27,2,6,2,3,1,2,6,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7941817926
2007537,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,66,4,4,30,2,5,1,3,1,6,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8640000382
2008276,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,64,4,97,4,2,1,1,3,5,5,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8349091076
2008872,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,35,4,6,4,1,1,2,3,1,3,1,6,4,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0.7895999848
2009612,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,67,4,10,4,2,1,1,3,1,3,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7672000061
2013208,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,62,4,9,41,2,5,1,3,1,6,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642962946
2017680,4,1,1,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,1,57,2,97,18,2,1,2,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.7137627132
2019017,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,2,67,4,8,35,2,5,1,3,1,3,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6539354661
2024119,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,74,4,11,6,2,5,1,3,3,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.680000074
2024417,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,73,4,97,41,2,5,2,3,1,5,1,2,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.6800000221
2051618,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,44,4,12,53,1,1,2,3,1,5,1,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.7354666806
2054345,3,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,79,1,97,34,2,5,1,3,1,3,4,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6539354661
2055727,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,61,4,6,6,2,5,1,3,1,3,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0.7137627132
2078449,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,54,1,11,36,2,1,1,3,6,6,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8467199974
2089560,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,47,3,8,22,2,1,2,3,1,6,6,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.642962946
2099713,4,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,1,37,3,9,37,2,1,1,3,1,3,6,2,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.7895999848
2099809,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,63,3,2,28,2,5,1,3,1,3,1,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7137627132
2103259,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44,3,97,51,1,2,3,3,4,6,1,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9258666779
2109354,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,62,3,3,48,2,1,1,3,7,3,5,1,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.7502221883
2123788,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,58,2,9,18,2,1,1,3,1,6,1,3,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.8467199974
2133620,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,63,1,4,42,2,6,1,3,1,3,3,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7137627132
2141811,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,42,3,10,48,1,1,2,3,1,5,1,4,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7354666806
